Unnamed: 0,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,dribble_outcome,possession_team_id,team_id,player_id,dribble_nutmeg,dribble_overrun,out,dribble_no_touch
463,24d31dc0-4deb-4308-af3d-39456054caf7,1518,1,00:37:17.000,37,17,Dribble,49,Slovakia,Regular Play,Slovakia,Lukáš Haraslín,Left Wing,"[48.6, 18.9]",0.0,True,['2be86023-bd89-4370-9901-b1831438c131'],3941017,Incomplete,908,908,7975,,,,
464,84481198-6a4c-4d91-9c22-dd50de5fadd4,1534,1,00:37:23.220,37,23,Dribble,50,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[84.9, 60.0]",0.0,True,['841684ad-b8f5-419b-81ad-f360feaed2e9'],3941017,Complete,768,768,30714,,,,
465,bb389d04-076e-4662-8c98-5cfe3fab7e80,1956,2,00:02:02.038,47,2,Dribble,66,Slovakia,Regular Play,Slovakia,Dávid Hancko,Left Back,"[49.9, 2.1]",0.0,True,['936d7f83-ff75-4204-bef7-15ce79b96381'],3941017,Incomplete,908,908,16879,1.0,,,
466,07f6c24b-9586-4f7c-839b-5ea6f3ff7163,2077,2,00:06:49.696,51,49,Dribble,72,England,From Corner,England,Phil Foden,Left Wing,"[62.1, 20.4]",0.0,True,['89a0dd52-c4ba-409f-8e91-877a35311b4d'],3941017,Incomplete,768,768,4354,,,,
467,f50e09b1-6e82-4342-b8d4-f426e0c05bcb,2248,2,00:10:33.933,55,33,Dribble,81,England,Regular Play,England,Bukayo Saka,Right Wing,"[99.9, 73.1]",0.0,True,['4f322272-d1da-4e3f-8ed9-3d133948faa3'],3941017,Complete,768,768,22084,,,,
468,a9c59082-7454-47f4-8bf9-a1189411cb2d,2400,2,00:13:10.599,58,10,Dribble,87,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[83.0, 41.3]",0.0,True,"['1e2f9e22-7028-4505-b743-24593001165d', 'e10653ca-9ab4-4f19-8081-c0d28d223172']",3941017,Complete,768,768,30714,,,,
469,96a7cccf-1f99-4e81-9bd1-b61d97df257b,2475,2,00:17:04.729,62,4,Dribble,91,England,Regular Play,England,Kieran Trippier,Left Back,"[93.8, 26.5]",0.0,True,['da352772-c371-42be-ab81-30bbf3dcb2a1'],3941017,Incomplete,768,768,3308,,,,
470,f8131b6a-5828-4d6a-b2dc-9366c694d462,2481,2,00:17:09.589,62,9,Dribble,91,England,Regular Play,England,Declan Rice,Left Defensive Midfield,"[96.7, 5.3]",0.0,True,"['300eebd3-ae69-43dc-a7ec-9718593bac8c', 'b493a313-8d63-4824-b435-c04a894b17dc']",3941017,Complete,768,768,3943,,,,
471,289d668b-06cb-45f0-aca9-82c33e350dbe,3179,2,00:37:20.601,82,20,Dribble,117,England,Regular Play,England,Cole Palmer,Right Wing,"[97.8, 76.9]",0.0,True,['cd4a35e4-3826-4c54-8881-850291b66417'],3941017,Incomplete,768,768,39461,,,,
472,54fc9a14-f7d6-4eb9-a73a-07e50ae28346,3381,2,00:41:52.837,86,52,Dribble,128,England,From Keeper,England,Kyle Walker,Right Back,"[34.1, 64.3]",0.0,True,"['fb859dd8-a50c-4853-9e95-6747787a7705', 'fc6de211-5b05-43f1-98ab-b3ba8cc736e8']",3941017,Complete,768,768,3205,,,,
473,fbc7e422-b583-4155-b074-7ee8ac00fad5,3810,3,00:05:23.241,95,23,Dribble,150,Slovakia,From Free Kick,Slovakia,Tomáš Suslov,Left Wing,"[90.4, 11.7]",0.0,True,['dd662afa-f8f4-4389-9326-06ef1d866212'],3941017,Incomplete,908,908,35653,,,,
474,11cc6de0-4c14-4b90-b2cc-c79984e55e00,3891,3,00:06:35.556,96,35,Dribble,151,England,Regular Play,England,Declan Rice,Center Defensive Midfield,"[2.0, 72.9]",0.0,True,['8e816450-7cf2-4727-b9a7-50dd810f0e41'],3941017,Complete,768,768,3943,,,,
475,98904284-7244-41a3-9c35-fb99973fe460,4182,3,00:13:39.626,103,39,Dribble,164,Slovakia,Regular Play,Slovakia,Peter Pekarík,Right Wing Back,"[39.1, 75.1]",0.0,True,['bfe4a7bb-3b3e-4b41-9d75-24ef9d622671'],3941017,Incomplete,908,908,9722,,,,
476,e988588c-a9cf-48ac-9005-278899155db2,4241,3,00:15:57.251,105,57,Dribble,167,England,From Goal Kick,England,Bukayo Saka,Right Wing Back,"[100.3, 73.6]",0.0,True,"['3b83593d-beac-4b1a-ba7e-fb819031c19a', '70126a56-1682-496f-9276-14bed0fb1cad']",3941017,Complete,768,768,22084,,,,
477,f326d949-0f3a-4acb-a55c-cbfa159224cd,4510,4,00:09:40.974,114,40,Dribble,186,England,From Free Kick,England,Eberechi Eze,Left Wing,"[111.1, 10.4]",0.0,True,['330438a3-10a3-40e0-b060-16e6f1a20104'],3941017,Incomplete,768,768,9000,,,,
1003,9cc14545-0ad4-4604-9264-5ab6c25886c2,457,1,00:09:29.016,9,29,Dribble,19,Slovenia,Regular Play,Slovenia,Žan Karničnik,Right Back,"[65.5, 75.6]",0.0,True,['ccd46d46-9323-4853-bdc0-ee19c074bd3d'],3930181,Incomplete,944,944,137487,,1.0,,
1004,50690c10-0973-46b9-b245-535ae29a4acc,473,1,00:10:24.159,10,24,Dribble,20,Slovenia,From Free Kick,Slovenia,Petar Stojanović,Right Midfield,"[89.4, 68.3]",0.0,True,"['5ccc41e7-0330-4447-8fc8-a599a5cd5680', '9ac8a5e7-0c42-45ff-97ee-64e396f9face']",3930181,Complete,944,944,16528,,,,
1005,eca03bb9-dafe-45d4-b949-05a7a873c5ea,491,1,00:10:40.760,10,40,Dribble,20,Slovenia,From Free Kick,Slovenia,Petar Stojanović,Right Midfield,"[77.9, 74.5]",0.0,True,"['c5fa4973-ea02-443b-a295-dbd9f0d224c0', 'de6e8c8f-3239-462e-8c6d-1aca2ae63998']",3930181,Complete,944,944,16528,,,,
1006,c0fe92e4-3ad2-44e7-8f90-cf9891b2d344,813,1,00:19:11.878,19,11,Dribble,32,England,Regular Play,England,Kyle Walker,Right Back,"[52.4, 58.7]",0.0,True,"['4a316721-e936-4deb-85b9-a778a9d717ee', '93398bd7-baa1-484a-b914-c6e28518b637']",3930181,Complete,768,768,3205,,,,
1007,2b11d94a-8def-4f7f-9380-bf1756b3f203,837,1,00:19:31.759,19,31,Dribble,32,England,Regular Play,England,Phil Foden,Left Wing,"[111.4, 15.2]",0.0,True,"['0ad8e980-975b-42b0-b39e-4bc6b6c26931', 'b3686072-de4a-4e6a-8436-a5db77b0bf11']",3930181,Complete,768,768,4354,,,,
1008,170f5106-6086-455a-8468-6c365222df6c,1021,1,00:24:23.317,24,23,Dribble,40,Slovenia,Regular Play,Slovenia,Adam Gnezda Čerin,Right Defensive Midfield,"[33.8, 62.2]",0.0,True,['5320ad12-e9fd-4fa1-abfd-2a62586fe923'],3930181,Complete,944,944,31968,,,,
1009,cec8337d-aaa7-4d63-9288-b9c39571b3bd,2126,2,00:03:32.057,48,32,Dribble,71,England,From Throw In,England,Jude Bellingham,Center Attacking Midfield,"[113.6, 56.6]",0.0,True,"['4a843b49-875f-4514-a834-f423e46ef485', '9e65994f-ed8f-46b2-99aa-b02511f7a3cc']",3930181,Incomplete,768,768,30714,,,,
1010,19279b41-d267-409b-88ca-d26cf355198d,2158,2,00:04:18.406,49,18,Dribble,72,England,From Corner,England,Kobbie Mainoo,Right Defensive Midfield,"[86.8, 54.4]",0.0,True,"['2066f045-a09f-402f-92d6-2e663538b7f8', '9c0eda91-f21d-4711-adc3-3f87c170398d']",3930181,Incomplete,768,768,99174,1.0,,,
1011,9722ec88-2d19-4535-9a8e-1b12107e4c50,2166,2,00:04:20.633,49,20,Dribble,72,England,From Corner,England,Phil Foden,Left Wing,"[84.3, 52.1]",0.0,True,['cb30b6e9-876c-4de2-b2dd-7f18a3542820'],3930181,Complete,768,768,4354,,,,
1012,11df6e5a-4449-4f13-b279-aa9fd6163bce,2323,2,00:08:27.921,53,27,Dribble,82,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[106.5, 49.4]",0.0,True,['ec483fcc-1034-4726-915b-99da916764c6'],3930181,Incomplete,768,768,30714,,,,
1013,74b9c16b-ae74-436b-a70a-47baf0f88d8c,2922,2,00:25:47.109,70,47,Dribble,99,Slovenia,From Counter,Slovenia,Jan Mlakar,Left Midfield,"[35.8, 19.8]",0.0,True,['878e3141-7311-4054-8f4f-64e1ad032146'],3930181,Incomplete,944,944,31089,,,,
1014,82bf0767-5115-4a25-9dc3-b0a99002565b,3062,2,00:29:16.488,74,16,Dribble,103,England,From Throw In,England,Declan Rice,Left Defensive Midfield,"[87.8, 3.7]",0.0,True,"['7dc9a956-742c-4db1-91c9-e045e9ee980c', 'b2fc3c41-32e2-4fb0-9212-cf5c3a8716a0']",3930181,Complete,768,768,3943,,,,
1015,94809467-bad7-404c-a453-bb220cd7bcb2,3248,2,00:34:59.538,79,59,Dribble,112,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[94.2, 69.9]",0.0,True,"['606f3ebc-fdb9-45b6-bbc8-0d6f4796cd40', 'c8b3baa5-aa85-42f4-93c9-3754ddd7df97']",3930181,Complete,768,768,30714,,,,
1016,bf881352-37ae-4995-99ff-932f7a21ee00,3638,2,00:47:25.640,92,25,Dribble,136,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[48.5, 6.4]",0.0,True,"['cfe772ed-7c8d-45ba-8870-bc3e90232339', 'd855fd39-5d43-48d3-a91c-9e1b309433a9']",3930181,Incomplete,768,768,30714,,,,
1017,c908b19f-d3a0-49d5-bf3c-48673f46640b,3653,2,00:47:53.180,92,53,Dribble,137,England,From Throw In,England,Cole Palmer,Right Wing,"[113.7, 71.6]",0.0,True,"['282cea2f-c714-4c3d-b81e-4558c941821e', 'f964a43c-547c-4e9d-8862-d9314d1a8b70']",3930181,Incomplete,768,768,39461,,,,
1185,20e39d64-d6ba-4c89-b044-61e4ef4eab84,400,1,00:07:28.280,7,28,Dribble,8,England,Regular Play,England,Bukayo Saka,Right Wing,"[92.0, 75.9]",0.0,True,['c3af7dae-9668-44fd-a2ea-35e2d3c19e6f'],3930163,Incomplete,768,768,22084,,,,
1186,15d256a2-6969-4873-940f-ee7b88889613,1285,1,00:28:05.859,28,5,Dribble,42,England,Regular Play,England,Bukayo Saka,Right Wing,"[109.7, 62.1]",0.0,True,['fc860836-6a68-464c-823c-43a773c279e3'],3930163,Incomplete,768,768,22084,,,,
1187,6abf3916-20b0-498b-9587-f781ab4c5c88,1640,1,00:36:23.209,36,23,Dribble,50,England,Regular Play,England,Bukayo Saka,Right Wing,"[95.8, 73.5]",0.0,True,['2656f235-24d6-4abe-a2d0-fa2f22ee8ae1'],3930163,Complete,768,768,22084,,,,
1188,4824ca4e-f986-4f21-b694-0965bea1da51,1802,1,00:39:54.427,39,54,Dribble,53,England,From Free Kick,England,Jude Bellingham,Center Attacking Midfield,"[77.5, 33.3]",0.0,True,['17829877-1ae5-4ce5-b001-7ed1ba610edd'],3930163,Incomplete,768,768,30714,,,,
1189,b323edc8-ab78-473e-983a-72a52c949217,1885,1,00:44:15.062,44,15,Dribble,57,England,Regular Play,England,Bukayo Saka,Right Wing,"[40.2, 78.2]",0.0,True,['d07f2cec-cf53-4aa7-802a-d1ca74f15a67'],3930163,Complete,768,768,22084,,,,
1190,2ad329b2-0cab-40f8-9214-70882aca13e7,1939,1,00:44:52.754,44,52,Dribble,58,Serbia,Regular Play,Serbia,Nemanja Gudelj,Center Defensive Midfield,"[44.4, 50.8]",0.0,True,"['87741b8d-643b-40b1-81e9-c6bc99756219', 'b86722f7-2be9-4047-933f-1b59431e0c35']",3930163,Complete,786,786,16489,,,,
1191,c312236f-6af3-4df1-9e14-97c3c73cb3fe,2381,2,00:05:28.579,50,28,Dribble,73,England,Regular Play,England,Bukayo Saka,Right Wing,"[40.5, 66.3]",0.0,True,['6fa3677b-3172-4254-900d-795391f8478d'],3930163,Incomplete,768,768,22084,,,,
1192,9d9a2c50-37d0-4223-9e66-04dbef391312,2650,2,00:11:06.330,56,6,Dribble,81,England,From Free Kick,England,Jude Bellingham,Center Attacking Midfield,"[111.1, 43.6]",0.0,True,['926f1ac4-ff01-415f-be1e-57a37f5f8d5a'],3930163,Incomplete,768,768,30714,,,,
1193,8175bde2-5321-4ae6-b56d-00be8258eaaf,2830,2,00:16:17.788,61,17,Dribble,87,England,Regular Play,England,Harry Kane,Center Forward,"[56.2, 50.2]",0.0,True,"['01d40038-6a74-4c0f-bbc5-494587c1d2a6', 'c1694c3a-3ede-42ee-a1a2-1e8d855c6383']",3930163,Complete,768,768,10955,,,,
1194,d1fc6a23-279f-417a-8f4d-c896870ee761,2857,2,00:16:59.577,61,59,Dribble,88,England,From Free Kick,England,Bukayo Saka,Right Wing,"[51.1, 65.2]",0.0,True,['fd99e5e8-1819-45fe-a7d6-97ec782976f3'],3930163,Incomplete,768,768,22084,,,,
1195,e3a9c96a-c81b-4bd3-b60a-5eb3ed0213cb,3001,2,00:19:41.942,64,41,Dribble,91,Serbia,From Throw In,Serbia,Dušan Tadić,Center Attacking Midfield,"[92.9, 55.6]",0.0,True,['f46ef021-9005-478b-9e85-f4e49c15c6dc'],3930163,Complete,786,786,3831,,,,
1196,75e20f93-d5bf-4b44-aab1-53766a9aeca4,3027,2,00:20:56.968,65,56,Dribble,93,England,From Free Kick,England,Trent Alexander-Arnold,Right Defensive Midfield,"[107.2, 56.7]",0.0,True,['2b63f295-10e7-4284-8b8c-7fe4002bfb33'],3930163,Incomplete,768,768,3664,,,,
1197,8ddd9880-131a-4a31-a2f0-87e05667ff36,3098,2,00:24:27.776,69,27,Dribble,97,Serbia,From Throw In,Serbia,Strahinja Pavlović,Left Center Back,"[96.3, 14.7]",0.0,True,['bd11e213-8d60-4acf-90f6-df3cf8b8d53b'],3930163,Complete,786,786,27719,,,,
1198,08b0ea96-657a-4b1e-979d-71f0e31c99f2,3265,2,00:29:18.486,74,18,Dribble,105,England,Regular Play,England,Kieran Trippier,Left Back,"[50.2, 2.0]",1.590169,True,"['24406b50-c799-4570-82e1-d28ae812b853', '9dbb9ccb-b3a3-4737-bbed-bb6a5bd69012']",3930163,Complete,768,768,3308,,1.0,,
1199,c9a3c107-fd22-4538-b081-ff8bbaf14502,3330,2,00:32:16.422,77,16,Dribble,108,Serbia,From Goal Kick,Serbia,Luka Jović,Left Center Forward,"[92.8, 10.3]",0.0,True,"['05bd56c1-4f58-4d46-ac5f-ad1e9ea82af1', '34dda844-2d58-4aad-8580-b860ec75cc59']",3930163,Complete,786,786,6319,1.0,,,
1200,a4ce90a5-bd36-43ac-9c29-8f710f95c2af,3389,2,00:33:13.262,78,13,Dribble,110,Serbia,Regular Play,Serbia,Strahinja Pavlović,Left Center Back,"[74.0, 19.8]",0.0,True,['e84a56a1-8110-49d4-af69-f8d30824f88e'],3930163,Complete,786,786,27719,,,,
1201,9d10e1b5-5c7d-4e20-9536-28ba2612b43e,3533,2,00:39:06.114,84,6,Dribble,119,England,From Throw In,England,Conor Gallagher,Right Defensive Midfield,"[79.7, 75.8]",0.0,True,['34d824e6-0ea6-4c85-a933-7426a09d7d65'],3930163,Complete,768,768,29399,,,,
1202,7b7020a3-5c89-49af-9d8b-3f632f6ebc1f,3706,2,00:43:13.181,88,13,Dribble,126,Serbia,From Throw In,Serbia,Filip Mladenović,Left Wing Back,"[107.2, 5.4]",0.0,True,"['8bda42db-5c3f-4c23-a9c9-e2f25b08b96a', '9d905d68-e0f5-414b-9d5e-5122f795f4c4']",3930163,Complete,786,786,7993,,,,
