Unnamed: 0,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,possession_team_id,team_id,player_id,foul_won_advantage,foul_won_penalty,foul_won_defensive,off_camera
961,38d02d59-d11b-429c-9c70-ad26936e17b6,3136,2,00:31:17.501,76,17,Foul Won,104,Slovenia,From Goal Kick,England,Declan Rice,Left Defensive Midfield,"[57.4, 21.3]",0.0,1.0,"['43c7f407-f706-4e6e-bedd-73c87368192b', 'cb5e2c96-dfdd-4a72-bd2d-1c74e69da640']",3930181,944,768,3943,1.0,,1.0,
962,15bc7027-ef97-4672-9fb9-920c227e65d9,3160,2,00:31:36.268,76,36,Foul Won,106,Slovenia,Regular Play,Slovenia,Josip Iličić,Left Center Forward,"[37.5, 22.7]",0.0,1.0,['45b3d68a-e53e-4ddd-aecf-7662cbe2e43d'],3930181,944,944,7139,,,,
963,b4cbea03-0bad-4eda-8cdb-5b27732cdc4a,3194,2,00:33:15.381,78,15,Foul Won,109,England,From Corner,Slovenia,Vanja Drkušić,Right Center Back,"[10.8, 34.3]",0.0,1.0,['af55f51e-93e4-40ac-b4ea-9ac64b02e639'],3930181,768,944,205932,,,1.0,
964,ccf1b36e-548f-4cd3-9556-0c11c0bfb9fc,3404,2,00:38:26.705,83,26,Foul Won,118,Slovenia,Regular Play,Slovenia,Erik Janža,Left Back,"[57.2, 6.1]",0.0,1.0,['c4d9b16e-fd0a-4d1e-bdbe-7029244854f6'],3930181,944,944,28211,,,1.0,
965,9f7737f7-243d-405e-99ae-a7feecd0ad37,3420,2,00:39:14.721,84,14,Foul Won,120,England,Regular Play,England,Marc Guehi,Left Center Back,"[33.7, 11.1]",0.0,1.0,"['79aad864-e060-441e-9aa7-900ca6e4fcc6', 'dbe753b2-3985-46f9-aec5-59915b6a2fd7']",3930181,768,768,34526,,,,
966,37f46283-61b5-4835-abc3-ade274ef0a83,3541,2,00:42:12.170,87,12,Foul Won,126,England,Regular Play,England,Cole Palmer,Right Wing,"[113.3, 77.3]",0.0,1.0,['26434287-9a75-417d-9011-f520efa0bf55'],3930181,768,768,39461,,,,
967,4c9dbf8a-f9fb-416f-b185-40b5a949924b,3554,2,00:43:17.665,88,17,Foul Won,128,Slovenia,Regular Play,Slovenia,Petar Stojanović,Right Midfield,"[28.3, 24.9]",0.0,1.0,['d6ba228f-73d9-40de-ab38-7b9ba6da887e'],3930181,944,944,16528,,,,
1138,345ee64c-a5c9-4b43-9f28-b4f0e52de806,128,1,00:01:48.455,1,48,Foul Won,4,England,Regular Play,England,Phil Foden,Left Wing,"[84.2, 64.5]",0.0,1.0,['f21784b0-18cd-4c59-9f59-1340c91c6b8a'],3930163,768,768,4354,1.0,,,
1139,a23e0cbd-95e3-40f2-909c-7a53075fe562,171,1,00:02:33.039,2,33,Foul Won,4,England,Regular Play,England,Bukayo Saka,Right Wing,"[84.1, 74.7]",0.0,1.0,['67e61f7c-f828-4ea8-b9bc-f2e0ebe2310b'],3930163,768,768,22084,,,,
1140,e64bd9bf-63ca-492d-8a42-ef971103614a,432,1,00:08:23.467,8,23,Foul Won,10,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[77.9, 38.6]",0.0,1.0,['a2101f60-05b7-4ffb-9257-9a43b8642985'],3930163,768,768,30714,,,,
1141,f639122c-38ed-4922-809c-1288402fcae1,463,1,00:09:22.136,9,22,Foul Won,13,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[77.5, 48.4]",0.0,1.0,['cf6c523b-ba9e-41e1-b7be-45c82fd6453a'],3930163,768,768,30714,,,,
1142,3c271b15-e26f-4d6a-9d5c-452628888804,469,1,00:09:59.684,9,59,Foul Won,14,England,From Free Kick,Serbia,Aleksandar Mitrović,Center Forward,"[16.3, 52.0]",0.0,1.0,['1d780b6f-914d-4472-8276-f210aff12c25'],3930163,768,786,4269,,,1.0,
1143,c67b3525-1959-41b2-badd-a2de79f4b051,812,1,00:16:54.028,16,54,Foul Won,21,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[76.4, 5.2]",0.0,1.0,['dff68f10-8aa4-4091-9311-1c3a06291632'],3930163,768,768,30714,,,,
1144,66b144a6-3e25-44c4-a12e-bcd78c7603a8,894,1,00:17:59.818,17,59,Foul Won,25,England,Regular Play,England,Harry Kane,Center Forward,"[79.4, 23.9]",0.0,1.0,['41f89d66-99bc-412c-95bb-eaf8cda036e5'],3930163,768,768,10955,1.0,,,
1145,c7adab5f-36c4-4eb7-90c2-594d18f1ae25,983,1,00:20:24.217,20,24,Foul Won,31,England,From Goal Kick,England,Bukayo Saka,Right Wing,"[88.0, 56.9]",0.0,1.0,['1749168b-4602-4187-a143-6bec1806ba2d'],3930163,768,768,22084,,,,
1146,a484317b-a8f3-4e84-976a-53350cf0f615,1183,1,00:26:23.534,26,23,Foul Won,40,England,Regular Play,Serbia,Nikola Milenković,Center Back,"[55.3, 42.9]",0.0,1.0,['6212deab-625b-43cb-8d97-b2bb7021d866'],3930163,768,786,5603,,,1.0,
1147,c81dccfa-afdb-401c-bc3e-c377b801ebdb,1297,1,00:28:12.636,28,12,Foul Won,42,England,Regular Play,England,Trent Alexander-Arnold,Right Defensive Midfield,"[91.7, 48.0]",0.0,1.0,['5dc91623-b135-4505-b79a-3f4cd3b2c1a3'],3930163,768,768,3664,,,,
1148,3431401b-465b-4deb-b57b-fdcc525b9d3a,1634,1,00:36:16.886,36,16,Foul Won,50,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[56.7, 38.5]",0.0,1.0,['894c53a4-536c-4722-9320-4d45c3015c95'],3930163,768,768,30714,1.0,,,
1149,14e16e28-8f0b-407d-9b5e-752183a04f76,1730,1,00:37:58.513,37,58,Foul Won,52,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[24.6, 25.7]",0.0,1.0,['35bb05c1-97c9-4a64-9b92-acc2b10985ec'],3930163,768,768,30714,1.0,,,
1150,3c9aba4b-d60a-4df9-a70f-ab495d2aec0b,1734,1,00:38:04.766,38,4,Foul Won,52,England,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[47.7, 45.8]",0.0,1.0,['9135cba4-e49a-4edb-84be-8ceeeb6c65ea'],3930163,768,768,30714,,,,
1151,e7cef735-c0af-4a1f-87fb-daff423eb6af,1775,1,00:39:29.622,39,29,Foul Won,53,England,From Free Kick,England,Declan Rice,Left Defensive Midfield,"[57.5, 21.0]",0.0,1.0,['abb49bb9-d133-4246-a5bb-05310e4917db'],3930163,768,768,3943,1.0,,,
1152,32af6841-0514-4b78-99ed-488b0a3e481f,1942,1,00:44:52.862,44,52,Foul Won,58,Serbia,Regular Play,Serbia,Nemanja Gudelj,Center Defensive Midfield,"[46.0, 50.2]",0.0,1.0,['c275b2bc-e728-461b-a1f2-3665fd17fb77'],3930163,786,786,16489,1.0,,,
1153,7f4d7398-658a-454a-8828-70335d38ea8c,1978,1,00:45:51.570,45,51,Foul Won,59,England,From Goal Kick,Serbia,Nemanja Gudelj,Center Defensive Midfield,"[47.9, 37.4]",0.0,1.0,"['aceb29e9-a054-4e04-aa0d-6ad8535c8880', 'daebdbb2-558a-471c-ab13-1cec4a87aa3b']",3930163,768,786,16489,1.0,,1.0,
